,ad_id,ad_name,adset_name,campaign_name,card_adds,cart_adds,checkouts,clicks,cpc,cpm,date_start,date_stop,impressions,purchases,spend,view_contents,creative,idcreative,status,targeting,idid,image_url,object_story_spec,title
0,23843073609240483,Free Shipping,Added to cart or viewed 3 days,DPA,,0,0,2,4.855,26.032172,2019-01-25,2019-02-23,373,0,9.71,2,23843243533140483,23843243505800483,ACTIVE,"<Targeting> {
    ""age_max"": 30,
    ""age_min"": 18,
    ""custom_audiences"": [
        {
            ""id"": ""23843202230110483"",
            ""name"": ""Lookalike (AU, 1%) - Purchase 180 Days""
        }
    ],
    ""device_platforms"": [
        ""mobile"",
        ""desktop""
    ],
    ""excluded_custom_audiences"": [
        {
            ""id"": ""23843187623130483"",
            ""name"": ""Add to Cart 180""
        },
        {
            ""id"": ""23843187625040483"",
            ""name"": ""Initiate Checkout 180""
        },
        {
            ""id"": ""23843202229850483"",
            ""name"": ""Purchase 180 Days""
        }
    ],
    ""genders"": [
        2
    ],
    ""instagram_positions"": [
        ""stream""
    ],
    ""publisher_platforms"": [
        ""instagram""
    ],
    ""targeting_optimization"": ""none""
}",23843243687000483,https://scontent.xx.fbcdn.net/v/t45.1600-4/53004360_23843243592060483_6006052124645916672_n.png?_nc_cat=103&_nc_ht=scontent.xx&oh=bfadeab1187f405e950be1ac2c3ab955&oe=5D21A1D1,"<AdCreativeObjectStorySpec> {
    ""link_data"": {
        ""attachment_style"": ""link"",
        ""call_to_action"": {
            ""type"": ""SHOP_NOW""
        },
        ""image_crops"": {
            ""100x100"": [
                [
                    196,
                    0
                ],
                [
                    880,
                    684
                ]
            ]
        },
        ""image_hash"": ""f2b0b136ccfd21afb4138dd64db626ec"",
        ""link"": ""https://lezethelabel.com/collections/pants/products/the-suit-pants-pinstripe"",
        ""message"": ""The Lez\u00e9 Suit Collection is made to empower women and defy traditional work-wear! \ud83d\udc9e\n\n\u2705Wrinkle Resistant\n\u2705Odor Repellent\n\u2705Moisture Wicking\n\nShop our Eco Friendly Pants Now! \n>> http://bit.ly/SuitPants-Pinstripe <<"",
        ""name"": ""Empowering & Defying Traditional Work-Wear\ud83d\udc96""
    },
    ""page_id"": ""233184620523144""
}",Empowering & Defying Traditional Work-Wear💖
1,23843229273370483,Navy Everyday Pants -- 9sec Video - Copy,USA 18-60 IG Only - PETA & Professional Jobs - 9sec Video,18-60 USA - IG Only - 9sec Video - Test Audience,,0,0,25,0.522069,15.803758,2019-01-25,2019-02-23,958,0,15.14,20,23843243546610483,23843243505730483,ACTIVE,"<Targeting> {
    ""age_max"": 30,
    ""age_min"": 18,
    ""custom_audiences"": [
        {
            ""id"": ""23843202230040483"",
            ""name"": ""Lookalike (CA, 1%) - Purchase 180 Days""
        }
    ],
    ""device_platforms"": [
        ""mobile"",
        ""desktop""
    ],
    ""excluded_custom_audiences"": [
        {
            ""id"": ""23843187623130483"",
            ""name"": ""Add to Cart 180""
        },
        {
            ""id"": ""23843187625040483"",
            ""name"": ""Initiate Checkout 180""
        },
        {
            ""id"": ""23843202229850483"",
            ""name"": ""Purchase 180 Days""
        }
    ],
    ""genders"": [
        2
    ],
    ""instagram_positions"": [
        ""stream""
    ],
    ""publisher_platforms"": [
        ""instagram""
    ],
    ""targeting_optimization"": ""none""
}",23843243680980483,https://scontent.xx.fbcdn.net/v/t45.1600-4/53004360_23843243592060483_6006052124645916672_n.png?_nc_cat=103&_nc_ht=scontent.xx&oh=bfadeab1187f405e950be1ac2c3ab955&oe=5D21A1D1,"<AdCreativeObjectStorySpec> {
    ""link_data"": {
        ""attachment_style"": ""link"",
        ""call_to_action"": {
            ""type"": ""SHOP_NOW""
        },
        ""image_crops"": {
            ""100x100"": [
                [
                    198,
                    0
                ],
                [
                    882,
                    684
                ]
            ]
        },
        ""image_hash"": ""f2b0b136ccfd21afb4138dd64db626ec"",
        ""link"": ""https://lezethelabel.com/collections/pants/products/the-suit-pants-pinstripe"",
        ""message"": ""The Lez\u00e9 Suit Collection is made to empower women and defy traditional work-wear! \ud83d\udc9e\n\n\u2705Wrinkle Resistant\n\u2705Odor Repellent\n\u2705Moisture Wicking\n\nShop our Eco Friendly Pants Now! \n>> http://bit.ly/SuitPants-Pinstripe <<"",
        ""name"": ""Empowering & Defying Traditional Work-Wear\ud83d\udc96""
    },
    ""page_id"": ""233184620523144""
}",Empowering & Defying Traditional Work-Wear💖
2,23843225261310483,US LLA 1% - Purchase - Nurture Video - Copy,Environmentalist_CA - Copy 2,Best Performers -- Sustainability & Suit Collection #2,,0,0,15,0.9575,16.580087,2019-01-25,2019-02-23,1155,0,19.15,3,23843243540210483,23843243505790483,ACTIVE,"<Targeting> {
    ""age_max"": 30,
    ""age_min"": 18,
    ""custom_audiences"": [
        {
            ""id"": ""23843202229930483"",
            ""name"": ""Lookalike (US, 1%) - Purchase 180 Days""
        }
    ],
    ""device_platforms"": [
        ""mobile"",
        ""desktop""
    ],
    ""excluded_custom_audiences"": [
        {
            ""id"": ""23843187623130483"",
            ""name"": ""Add to Cart 180""
        },
        {
            ""id"": ""23843187625040483"",
            ""name"": ""Initiate Checkout 180""
        },
        {
            ""id"": ""23843202229850483"",
            ""name"": ""Purchase 180 Days""
        }
    ],
    ""genders"": [
        2
    ],
    ""instagram_positions"": [
        ""stream""
    ],
    ""publisher_platforms"": [
        ""instagram""
    ],
    ""targeting_optimization"": ""none""
}",23843243679220483,https://scontent.xx.fbcdn.net/v/t45.1600-4/53004360_23843243592060483_6006052124645916672_n.png?_nc_cat=103&_nc_ht=scontent.xx&oh=bfadeab1187f405e950be1ac2c3ab955&oe=5D21A1D1,"<AdCreativeObjectStorySpec> {
    ""link_data"": {
        ""attachment_style"": ""link"",
        ""call_to_action"": {
            ""type"": ""SHOP_NOW""
        },
        ""image_crops"": {
            ""100x100"": [
                [
                    191,
                    0
                ],
                [
                    875,
                    684
                ]
            ]
        },
        ""image_hash"": ""f2b0b136ccfd21afb4138dd64db626ec"",
        ""link"": ""https://lezethelabel.com/collections/pants/products/the-suit-pants-pinstripe"",
        ""message"": ""The Lez\u00e9 Suit Collection is made to empower women and defy traditional work-wear! \ud83d\udc9e\n\n\u2705Wrinkle Resistant\n\u2705Odor Repellent\n\u2705Moisture Wicking\n\nShop our Eco Friendly Pants Now! \n>> http://bit.ly/SuitPants-Pinstripe <<"",
        ""name"": ""Pants you feel good in - and good about.\ud83d\udc96""
    },
    ""page_id"": ""233184620523144""
}",Pants you feel good in - and good about.💖
3,23843225261330483,Ad1_Elementalist_behind the scene,Environmentalist_CA - Copy 2,Best Performers -- Sustainability & Suit Collection #2,2.0,0,1,85,0.348384,7.36651,2019-01-25,2019-02-23,4682,0,34.49,13,23843243630990483,23843243579880483,ACTIVE,"<Targeting> {
    ""age_max"": 30,
    ""age_min"": 18,
    ""custom_audiences"": [
        {
            ""id"": ""23843202229930483"",
            ""name"": ""Lookalike (US, 1%) - Purchase 180 Days""
        }
    ],
    ""device_platforms"": [
        ""mobile"",
        ""desktop""
    ],
    ""excluded_custom_audiences"": [
        {
            ""id"": ""23843187623130483"",
            ""name"": ""Add to Cart 180""
        },
        {
            ""id"": ""23843187625040483"",
            ""name"": ""Initiate Checkout 180""
        },
        {
            ""id"": ""23843202229850483"",
            ""name"": ""Purchase 180 Days""
        }
    ],
    ""genders"": [
        2
    ],
    ""instagram_positions"": [
        ""stream""
    ],
    ""publisher_platforms"": [
        ""instagram""
    ],
    ""targeting_optimization"": ""none""
}",23843243678510483,https://scontent.xx.fbcdn.net/v/t45.1600-4/53004360_23843243592060483_6006052124645916672_n.png?_nc_cat=103&_nc_ht=scontent.xx&oh=bfadeab1187f405e950be1ac2c3ab955&oe=5D21A1D1,"<AdCreativeObjectStorySpec> {
    ""instagram_actor_id"": ""1359743614102067"",
    ""link_data"": {
        ""attachment_style"": ""link"",
        ""call_to_action"": {
            ""type"": ""SHOP_NOW""
        },
        ""image_crops"": {
            ""100x100"": [
                [
                    193,
                    0
                ],
                [
                    877,
                    684
                ]
            ]
        },
        ""image_hash"": ""f2b0b136ccfd21afb4138dd64db626ec"",
        ""link"": ""https://lezethelabel.com/collections/pants/products/the-suit-pants-pinstripe"",
        ""message"": ""The Lez\u00e9 Suit Collection is made to empower women and defy traditional work-wear! \ud83d\udc9e\nShop our Eco Friendly Pants Now! \n>> http://bit.ly/SuitPants-Pinstripe <<"",
        ""name"": ""Pants you feel good in - and good about.\ud83d\udc96""
    },
    ""page_id"": ""233184620523144""
}",Pants you feel good in - and good about.💖
4,23843225304440483,Video Split Test - Wiped Comments - Copy 2,AUS 18+ LLA 2% - IG Only,Best Performers -- Sustainability & Suit Collection #2,8.0,0,14,2168,0.122609,3.350218,2019-01-25,2019-02-23,89627,5,300.27,1247,23843243635190483,23843243579910483,ACTIVE,"<Targeting> {
    ""age_max"": 30,
    ""age_min"": 18,
    ""custom_audiences"": [
        {
            ""id"": ""23843202230040483"",
            ""name"": ""Lookalike (CA, 1%) - Purchase 180 Days""
        }
    ],
    ""device_platforms"": [
        ""mobile"",
        ""desktop""
    ],
    ""excluded_custom_audiences"": [
        {
            ""id"": ""23843187623130483"",
            ""name"": ""Add to Cart 180""
        },
        {
            ""id"": ""23843187625040483"",
            ""name"": ""Initiate Checkout 180""
        },
        {
            ""id"": ""23843202229850483"",
            ""name"": ""Purchase 180 Days""
        }
    ],
    ""genders"": [
        2
    ],
    ""instagram_positions"": [
        ""stream""
    ],
    ""publisher_platforms"": [
        ""instagram""
    ],
    ""targeting_optimization"": ""none""
}",23843243676260483,https://scontent.xx.fbcdn.net/v/t45.1600-4/53004360_23843243592060483_6006052124645916672_n.png?_nc_cat=103&_nc_ht=scontent.xx&oh=bfadeab1187f405e950be1ac2c3ab955&oe=5D21A1D1,"<AdCreativeObjectStorySpec> {
    ""instagram_actor_id"": ""1359743614102067"",
    ""link_data"": {
        ""attachment_style"": ""link"",
        ""call_to_action"": {
            ""type"": ""SHOP_NOW""
        },
        ""image_crops"": {
            ""100x100"": [
                [
                    196,
                    0
                ],
                [
                    880,
                    684
                ]
            ]
        },
        ""image_hash"": ""f2b0b136ccfd21afb4138dd64db626ec"",
        ""link"": ""https://lezethelabel.com/collections/pants/products/the-suit-pants-pinstripe"",
        ""message"": ""The Lez\u00e9 Suit Collection is made to empower women and defy traditional work-wear! \ud83d\udc9e\nShop our Eco Friendly Pants Now! \n>> http://bit.ly/SuitPants-Pinstripe <<"",
        ""name"": ""Empowering & Defying Traditional Workwear\ud83d\udc96""
    },
    ""page_id"": ""233184620523144""
}",Empowering & Defying Traditional Workwear💖
5,23843225468230483,Video Split Test - Wiped Comments - Navy,LLA US 1% - 18+ Female IG ONLY - Copy,Best Performers -- Sustainability & Suit Collection,6.0,0,9,173,0.646173,18.919928,2019-01-25,2019-02-23,6694,0,126.65,130,23843243678510483,23843243580000483,ACTIVE,"<Targeting> {
    ""age_max"": 30,
    ""age_min"": 18,
    ""custom_audiences"": [
        {
            ""id"": ""23843202230110483"",
            ""name"": ""Lookalike (AU, 1%) - Purchase 180 Days""
        }
    ],
    ""device_platforms"": [
        ""mobile"",
        ""desktop""
    ],
    ""excluded_custom_audiences"": [
        {
            ""id"": ""23843187623130483"",
            ""name"": ""Add to Cart 180""
        },
        {
            ""id"": ""23843187625040483"",
            ""name"": ""Initiate Checkout 180""
        },
        {
            ""id"": ""23843202229850483"",
            ""name"": ""Purchase 180 Days""
        }
    ],
    ""genders"": [
        2
    ],
    ""instagram_positions"": [
        ""stream""
    ],
    ""publisher_platforms"": [
        ""instagram""
    ],
    ""targeting_optimization"": ""none""
}",23843243674670483,https://scontent.xx.fbcdn.net/v/t45.1600-4/53004360_23843243592060483_6006052124645916672_n.png?_nc_cat=103&_nc_ht=scontent.xx&oh=bfadeab1187f405e950be1ac2c3ab955&oe=5D21A1D1,"<AdCreativeObjectStorySpec> {
    ""instagram_actor_id"": ""1359743614102067"",
    ""link_data"": {
        ""attachment_style"": ""link"",
        ""call_to_action"": {
            ""type"": ""SHOP_NOW""
        },
        ""image_crops"": {
            ""100x100"": [
                [
                    191,
                    0
                ],
                [
                    875,
                    684
                ]
            ]
        },
        ""image_hash"": ""f2b0b136ccfd21afb4138dd64db626ec"",
        ""link"": ""https://lezethelabel.com/collections/pants/products/the-suit-pants-pinstripe"",
        ""message"": ""The Lez\u00e9 Suit Collection is made to empower women and defy traditional work-wear! \ud83d\udc9e\nShop our Eco Friendly Pants Now! \n>> http://bit.ly/SuitPants-Pinstripe <<"",
        ""name"": ""Empowering & Defying Traditional Workwear\ud83d\udc96""
    },
    ""page_id"": ""233184620523144""
}",Empowering & Defying Traditional Workwear💖
6,23843229235220483,Navy Everyday Pants -- 9sec Video,AUS 18-50 IG -- Ellen or Enviro,18-50 AUS - IG Only - 9sec Video -- Test Audience,,0,2,218,0.152245,2.833055,2019-01-25,2019-02-23,13166,0,37.3,103,23843243556070483,23843243505750483,ACTIVE,"<Targeting> {
    ""age_max"": 30,
    ""age_min"": 18,
    ""custom_audiences"": [
        {
            ""id"": ""23843202229930483"",
            ""name"": ""Lookalike (US, 1%) - Purchase 180 Days""
        }
    ],
    ""device_platforms"": [
        ""mobile"",
        ""desktop""
    ],
    ""excluded_custom_audiences"": [
        {
            ""id"": ""23843187623130483"",
            ""name"": ""Add to Cart 180""
        },
        {
            ""id"": ""23843187625040483"",
            ""name"": ""Initiate Checkout 180""
        },
        {
            ""id"": ""23843202229850483"",
            ""name"": ""Purchase 180 Days""
        }
    ],
    ""genders"": [
        2
    ],
    ""instagram_positions"": [
        ""stream""
    ],
    ""publisher_platforms"": [
        ""instagram""
    ],
    ""targeting_optimization"": ""none""
}",23843243669700483,https://scontent.xx.fbcdn.net/v/t45.1600-4/53004360_23843243592060483_6006052124645916672_n.png?_nc_cat=103&_nc_ht=scontent.xx&oh=bfadeab1187f405e950be1ac2c3ab955&oe=5D21A1D1,"<AdCreativeObjectStorySpec> {
    ""link_data"": {
        ""attachment_style"": ""link"",
        ""call_to_action"": {
            ""type"": ""SHOP_NOW""
        },
        ""image_hash"": ""f2b0b136ccfd21afb4138dd64db626ec"",
        ""link"": ""https://lezethelabel.com/collections/pants/products/the-suit-pants-pinstripe"",
        ""message"": ""The Lez\u00e9 Suit Collection is made to empower women and defy traditional work-wear! \ud83d\udc9e\n\n\u2705Wrinkle Resistant\n\u2705Odor Repellent\n\u2705Moisture Wicking\n\nShop our Eco Friendly Pants Now! \n>> http://bit.ly/SuitPants-Pinstripe <<"",
        ""name"": ""Pants you feel good in - and good about.\ud83d\udc96""
    },
    ""page_id"": ""233184620523144""
}",Pants you feel good in - and good about.💖
7,23843229251840483,Navy Everyday Pants -- 9sec Video - Copy,18-50 CAN IG Only - 9 sec Video,18-50 CAN - IG Only - 9 Sec Video - Test Audience,9.0,0,10,517,0.096176,1.633118,2019-01-25,2019-02-23,35570,1,58.09,303,23843243600120483,23843243579980483,ACTIVE,"<Targeting> {
    ""age_max"": 30,
    ""age_min"": 18,
    ""custom_audiences"": [
        {
            ""id"": ""23843202229930483"",
            ""name"": ""Lookalike (US, 1%) - Purchase 180 Days""
        }
    ],
    ""device_platforms"": [
        ""mobile"",
        ""desktop""
    ],
    ""excluded_custom_audiences"": [
        {
            ""id"": ""23843187623130483"",
            ""name"": ""Add to Cart 180""
        },
        {
            ""id"": ""23843187625040483"",
            ""name"": ""Initiate Checkout 180""
        },
        {
            ""id"": ""23843202229850483"",
            ""name"": ""Purchase 180 Days""
        }
    ],
    ""genders"": [
        2
    ],
    ""instagram_positions"": [
        ""stream""
    ],
    ""publisher_platforms"": [
        ""instagram""
    ],
    ""targeting_optimization"": ""none""
}",23843243635190483,https://scontent.xx.fbcdn.net/v/t45.1600-4/53004360_23843243592060483_6006052124645916672_n.png?_nc_cat=103&_nc_ht=scontent.xx&oh=bfadeab1187f405e950be1ac2c3ab955&oe=5D21A1D1,"<AdCreativeObjectStorySpec> {
    ""instagram_actor_id"": ""1359743614102067"",
    ""link_data"": {
        ""attachment_style"": ""link"",
        ""call_to_action"": {
            ""type"": ""SHOP_NOW""
        },
        ""image_crops"": {
            ""100x100"": [
                [
                    189,
                    0
                ],
                [
                    873,
                    684
                ]
            ]
        },
        ""image_hash"": ""f2b0b136ccfd21afb4138dd64db626ec"",
        ""link"": ""https://lezethelabel.com/collections/pants/products/the-suit-pants-pinstripe"",
        ""message"": ""The Lez\u00e9 Suit Collection is made to empower women and defy traditional work-wear! \ud83d\udc9e\nShop our Eco Friendly Pants Now! \n>> http://bit.ly/SuitPants-Pinstripe <<"",
        ""name"": ""Pants you feel good in - and good about.\ud83d\udc96""
    },
    ""page_id"": ""233184620523144""
}",Pants you feel good in - and good about.💖
8,23843229265610483,Navy Everyday Pants -- 9sec Video,18-50 USA - Ellen - Job Specific - 9 sec vid,18-50 USA - IG Only - 9 sec Video -Test Audience,,0,0,23,0.470333,18.253558,2019-01-25,2019-02-23,773,0,14.11,14,23843243676260483,23843243579920483,ACTIVE,"<Targeting> {
    ""age_max"": 30,
    ""age_min"": 18,
    ""custom_audiences"": [
        {
            ""id"": ""23843202230040483"",
            ""name"": ""Lookalike (CA, 1%) - Purchase 180 Days""
        }
    ],
    ""device_platforms"": [
        ""mobile"",
        ""desktop""
    ],
    ""excluded_custom_audiences"": [
        {
            ""id"": ""23843187623130483"",
            ""name"": ""Add to Cart 180""
        },
        {
            ""id"": ""23843187625040483"",
            ""name"": ""Initiate Checkout 180""
        },
        {
            ""id"": ""23843202229850483"",
            ""name"": ""Purchase 180 Days""
        }
    ],
    ""genders"": [
        2
    ],
    ""instagram_positions"": [
        ""stream""
    ],
    ""publisher_platforms"": [
        ""instagram""
    ],
    ""targeting_optimization"": ""none""
}",23843243630990483,https://scontent.xx.fbcdn.net/v/t45.1600-4/53004360_23843243592060483_6006052124645916672_n.png?_nc_cat=103&_nc_ht=scontent.xx&oh=bfadeab1187f405e950be1ac2c3ab955&oe=5D21A1D1,"<AdCreativeObjectStorySpec> {
    ""instagram_actor_id"": ""1359743614102067"",
    ""link_data"": {
        ""attachment_style"": ""link"",
        ""call_to_action"": {
            ""type"": ""SHOP_NOW""
        },
        ""image_crops"": {
            ""100x100"": [
                [
                    196,
                    0
                ],
                [
                    880,
                    684
                ]
            ]
        },
        ""image_hash"": ""f2b0b136ccfd21afb4138dd64db626ec"",
        ""link"": ""https://lezethelabel.com/collections/pants/products/the-suit-pants-pinstripe"",
        ""message"": ""The Lez\u00e9 Suit Collection is made to empower women and defy traditional work-wear! \ud83d\udc9e\nShop our Eco Friendly Pants Now! \n>> http://bit.ly/SuitPants-Pinstripe <<"",
        ""name"": ""Pants you feel good in - and good about.\ud83d\udc96""
    },
    ""page_id"": ""233184620523144""
}",Pants you feel good in - and good about.💖
9,23843231683390483,Website Video - Copy,AUS 10% LLA - 44-54 FB Only - Website Video,LLA 10% AUS 44-54 FB Only - Test Audience,,0,0,31,0.763542,47.229381,2019-01-25,2019-02-23,776,0,36.65,9,23843243674670483,23843243579950483,ACTIVE,"<Targeting> {
    ""age_max"": 30,
    ""age_min"": 18,
    ""custom_audiences"": [
        {
            ""id"": ""23843202230110483"",
            ""name"": ""Lookalike (AU, 1%) - Purchase 180 Days""
        }
    ],
    ""device_platforms"": [
        ""mobile"",
        ""desktop""
    ],
    ""excluded_custom_audiences"": [
        {
            ""id"": ""23843187623130483"",
            ""name"": ""Add to Cart 180""
        },
        {
            ""id"": ""23843187625040483"",
            ""name"": ""Initiate Checkout 180""
        },
        {
            ""id"": ""23843202229850483"",
            ""name"": ""Purchase 180 Days""
        }
    ],
    ""genders"": [
        2
    ],
    ""instagram_positions"": [
        ""stream""
    ],
    ""publisher_platforms"": [
        ""instagram""
    ],
    ""targeting_optimization"": ""none""
}",23843243629350483,https://scontent.xx.fbcdn.net/v/t45.1600-4/53004360_23843243592060483_6006052124645916672_n.png?_nc_cat=103&_nc_ht=scontent.xx&oh=bfadeab1187f405e950be1ac2c3ab955&oe=5D21A1D1,"<AdCreativeObjectStorySpec> {
    ""link_data"": {
        ""attachment_style"": ""link"",
        ""call_to_action"": {
            ""type"": ""SHOP_NOW""
        },
        ""image_crops"": {
            ""100x100"": [
                [
                    191,
                    0
                ],
                [
                    875,
                    684
                ]
            ]
        },
        ""image_hash"": ""f2b0b136ccfd21afb4138dd64db626ec"",
        ""link"": ""https://lezethelabel.com/collections/pants/products/the-suit-pants-pinstripe"",
        ""message"": ""The Lez\u00e9 Suit Collection is made to empower women and defy traditional work-wear! \ud83d\udc9e\n\n\u2705Wrinkle Resistant\n\u2705Odor Repellent\n\u2705Moisture Wicking\n\nShop our Eco Friendly Pants Now! \n>> http://bit.ly/SuitPants-Pinstripe <<"",
        ""name"": ""Pants you feel good in - and good about.\ud83d\udc96""
    },
    ""page_id"": ""233184620523144""
}",Pants you feel good in - and good about.💖
10,23843225261270483,Video Split Test - Wiped Comments - Copy,LLA US 1% - 18+ Female IG ONLY - Copy 2,Best Performers -- Sustainability & Suit Collection #2,7.0,0,15,516,0.455898,15.76301,2019-01-25,2019-02-23,17064,4,268.98,383,23843243538520483,23843243505640483,ACTIVE,"<Targeting> {
    ""age_max"": 30,
    ""age_min"": 18,
    ""custom_audiences"": [
        {
            ""id"": ""23843202230040483"",
            ""name"": ""Lookalike (CA, 1%) - Purchase 180 Days""
        }
    ],
    ""device_platforms"": [
        ""mobile"",
        ""desktop""
    ],
    ""excluded_custom_audiences"": [
        {
            ""id"": ""23843187623130483"",
            ""name"": ""Add to Cart 180""
        },
        {
            ""id"": ""23843187625040483"",
            ""name"": ""Initiate Checkout 180""
        },
        {
            ""id"": ""23843202229850483"",
            ""name"": ""Purchase 180 Days""
        }
    ],
    ""genders"": [
        2
    ],
    ""instagram_positions"": [
        ""stream""
    ],
    ""publisher_platforms"": [
        ""instagram""
    ],
    ""targeting_optimization"": ""none""
}",23843243600120483,https://scontent.xx.fbcdn.net/v/t45.1600-4/53004360_23843243592060483_6006052124645916672_n.png?_nc_cat=103&_nc_ht=scontent.xx&oh=bfadeab1187f405e950be1ac2c3ab955&oe=5D21A1D1,"<AdCreativeObjectStorySpec> {
    ""instagram_actor_id"": ""1359743614102067"",
    ""link_data"": {
        ""attachment_style"": ""link"",
        ""call_to_action"": {
            ""type"": ""SHOP_NOW""
        },
        ""image_crops"": {
            ""100x100"": [
                [
                    193,
                    0
                ],
                [
                    877,
                    684
                ]
            ]
        },
        ""image_hash"": ""f2b0b136ccfd21afb4138dd64db626ec"",
        ""link"": ""https://lezethelabel.com/collections/pants/products/the-suit-pants-pinstripe"",
        ""message"": ""The Lez\u00e9 Suit Collection is made to empower women and defy traditional work-wear! \ud83d\udc9e\nShop our Eco Friendly Pants Now! \n>> http://bit.ly/SuitPants-Pinstripe <<"",
        ""name"": ""Empowering & Defying Traditional Workwear\ud83d\udc96""
    },
    ""page_id"": ""233184620523144""
}",Empowering & Defying Traditional Workwear💖
11,23843231801750483,Website Video - Copy,LLA USA 44-54 - FB only - Website Video,USA LLA 1% - FB Only - 44-54 - Test Audience,1.0,0,2,33,0.992041,80.347107,2019-01-25,2019-02-23,605,2,48.61,19,23843243687000483,23843243579870483,ACTIVE,"<Targeting> {
    ""age_max"": 65,
    ""age_min"": 30,
    ""custom_audiences"": [
        {
            ""id"": ""23843202230040483"",
            ""name"": ""Lookalike (CA, 1%) - Purchase 180 Days""
        }
    ],
    ""device_platforms"": [
        ""mobile"",
        ""desktop""
    ],
    ""excluded_custom_audiences"": [
        {
            ""id"": ""23843187623130483"",
            ""name"": ""Add to Cart 180""
        },
        {
            ""id"": ""23843187625040483"",
            ""name"": ""Initiate Checkout 180""
        },
        {
            ""id"": ""23843202229850483"",
            ""name"": ""Purchase 180 Days""
        }
    ],
    ""facebook_positions"": [
        ""feed"",
        ""suggested_video"",
        ""instant_article"",
        ""marketplace""
    ],
    ""genders"": [
        2
    ],
    ""publisher_platforms"": [
        ""facebook""
    ],
    ""targeting_optimization"": ""none""
}",23843243593260483,https://scontent.xx.fbcdn.net/v/t45.1600-4/53004360_23843243592060483_6006052124645916672_n.png?_nc_cat=103&_nc_ht=scontent.xx&oh=bfadeab1187f405e950be1ac2c3ab955&oe=5D21A1D1,"<AdCreativeObjectStorySpec> {
    ""link_data"": {
        ""attachment_style"": ""link"",
        ""call_to_action"": {
            ""type"": ""SHOP_NOW""
        },
        ""image_crops"": {
            ""100x100"": [
                [
                    198,
                    0
                ],
                [
                    882,
                    684
                ]
            ]
        },
        ""image_hash"": ""f2b0b136ccfd21afb4138dd64db626ec"",
        ""link"": ""https://lezethelabel.com/collections/pants/products/the-suit-pants-pinstripe"",
        ""message"": ""The Lez\u00e9 Suit Collection is made to empower women and defy traditional work-wear! \ud83d\udc9e\n\n\u2705Wrinkle Resistant\n\u2705Odor Repellent\n\u2705Moisture Wicking\n\nShop our Eco Friendly Pants Now! \n>> http://bit.ly/SuitPants-Pinstripe <<"",
        ""name"": ""Empowering & Defying Traditional Work-Wear\ud83d\udc96""
    },
    ""page_id"": ""233184620523144""
}",Empowering & Defying Traditional Work-Wear💖
12,23843231811620483,Nurture Video,LLA USA 44-54 - FB Only - Nurture Video,USA LLA 1% - FB Only - 44-54 - Test Audience,,0,0,3,4.226667,51.755102,2019-01-25,2019-02-23,245,0,12.68,1,23843243680980483,23843243579970483,ACTIVE,"<Targeting> {
    ""age_max"": 65,
    ""age_min"": 30,
    ""custom_audiences"": [
        {
            ""id"": ""23843202230110483"",
            ""name"": ""Lookalike (AU, 1%) - Purchase 180 Days""
        }
    ],
    ""device_platforms"": [
        ""mobile"",
        ""desktop""
    ],
    ""excluded_custom_audiences"": [
        {
            ""id"": ""23843187623130483"",
            ""name"": ""Add to Cart 180""
        },
        {
            ""id"": ""23843187625040483"",
            ""name"": ""Initiate Checkout 180""
        },
        {
            ""id"": ""23843202229850483"",
            ""name"": ""Purchase 180 Days""
        }
    ],
    ""facebook_positions"": [
        ""feed"",
        ""suggested_video"",
        ""instant_article"",
        ""marketplace""
    ],
    ""genders"": [
        2
    ],
    ""publisher_platforms"": [
        ""facebook""
    ],
    ""targeting_optimization"": ""none""
}",23843243583190483,https://scontent.xx.fbcdn.net/v/t45.1600-4/52878088_23843243517380483_3728211335834501120_n.png?_nc_cat=109&_nc_ht=scontent.xx&oh=60e100be912f30a4ac1085dd7c2c7d18&oe=5D270BFB,"<AdCreativeObjectStorySpec> {
    ""link_data"": {
        ""attachment_style"": ""link"",
        ""call_to_action"": {
            ""type"": ""SHOP_NOW""
        },
        ""image_crops"": {
            ""100x100"": [
                [
                    0,
                    512
                ],
                [
                    1024,
                    1536
                ]
            ]
        },
        ""image_hash"": ""982aa0f5cfe3c9d2e24f58d6c804c586"",
        ""link"": ""https://lezethelabel.com/collections/pants/products/the-suit-pants-herringbone"",
        ""message"": ""The Lez\u00e9 Suit Collection is made to empower women and defy traditional work-wear! \ud83d\udc9e\n\n\u2705Wrinkle Resistant\n\u2705Odor Repellent\n\u2705Moisture Wicking\n\nShop our Eco Friendly Pants Now! \n>> http://bit.ly/SuitPants-Herringbone <<"",
        ""name"": ""Empowering & Defying Traditional Work-Wear\ud83d\udc96""
    },
    ""page_id"": ""233184620523144""
}",Empowering & Defying Traditional Work-Wear💖
